,Job Title,Company Name,City,State,Date Posted,"Day of Week, Day and Month",Year
65,"Engineer, automotive",Martinez-Berry,New Jeffrey,AP,2021-04-08,"Thursday, 08April",2021
66,"Producer, radio","May, Taylor and Fisher",Davidside,AA,2021-04-08,"Thursday, 08April",2021
67,Dispensing optician,"Bailey, Owen and Thompson",Jamesville,AA,2021-04-08,"Thursday, 08April",2021
68,"Designer, fashion/clothing",Vasquez Ltd,New Kelly,AP,2021-04-08,"Thursday, 08April",2021
69,Chartered loss adjuster,Leblanc LLC,Lake Antonio,AA,2021-04-08,"Thursday, 08April",2021
70,"Back-End Web Developer (Python, Django)","Jackson, Ali and Mckee",New Elizabethside,AA,2021-04-08,"Thursday, 08April",2021
71,Forest/woodland manager,"Blankenship, Knight and Powell",Millsbury,AE,2021-04-08,"Thursday, 08April",2021
72,Clinical cytogeneticist,"Patton, Haynes and Jones",Lloydton,AP,2021-04-08,"Thursday, 08April",2021
73,Print production planner,Wood Inc,Port Jeremy,AA,2021-04-08,"Thursday, 08April",2021
74,Systems developer,Collins Group,New Elizabethtown,AA,2021-04-08,"Thursday, 08April",2021
75,Graphic designer,Flores-Nelson,Charlesstad,AE,2021-04-08,"Thursday, 08April",2021
76,Writer,"Mitchell, Jones and Olson",Josephbury,AE,2021-04-08,"Thursday, 08April",2021
77,Field seismologist,Howard Group,Seanfurt,AA,2021-04-08,"Thursday, 08April",2021
78,Chief Strategy Officer,Kramer-Edwards,Williambury,AA,2021-04-08,"Thursday, 08April",2021
79,Air cabin crew,Berry-Houston,South Jorgeside,AP,2021-04-08,"Thursday, 08April",2021
80,Python Programmer (Entry-Level),Mathews Inc,Robertborough,AP,2021-04-08,"Thursday, 08April",2021
81,Warden/ranger,Riley-Johnson,South Saratown,AP,2021-04-08,"Thursday, 08April",2021
82,Sports therapist,Spencer and Sons,Hullview,AA,2021-04-08,"Thursday, 08April",2021
83,Arts development officer,Camacho-Sanchez,Philipland,AP,2021-04-08,"Thursday, 08April",2021
84,Printmaker,Oliver and Sons,North Patty,AE,2021-04-08,"Thursday, 08April",2021
85,Health and safety adviser,Eaton PLC,North Stephen,AE,2021-04-08,"Thursday, 08April",2021
86,Manufacturing systems engineer,Stanley-Frederick,Stevensland,AP,2021-04-08,"Thursday, 08April",2021
87,"Programmer, applications",Bradley LLC,Reyesstad,AE,2021-04-08,"Thursday, 08April",2021
88,Medical physicist,"Parker, Goodwin and Zavala",Bellberg,AP,2021-04-08,"Thursday, 08April",2021
89,Media planner,Kim-Miles,North Johnland,AE,2021-04-08,"Thursday, 08April",2021
90,Software Developer (Python),Moreno-Rodriguez,Martinezburgh,AE,2021-04-08,"Thursday, 08April",2021
91,"Surveyor, land/geomatics",Brown-Ortiz,Joshuatown,AE,2021-04-08,"Thursday, 08April",2021
92,Legal executive,Hartman PLC,West Ericstad,AA,2021-04-08,"Thursday, 08April",2021
93,"Librarian, academic",Brooks Inc,Tuckertown,AE,2021-04-08,"Thursday, 08April",2021
94,Barrister,Washington-Castillo,Perezton,AE,2021-04-08,"Thursday, 08April",2021
95,Museum/gallery exhibitions officer,"Nguyen, Yoder and Petty",Lake Abigail,AE,2021-04-08,"Thursday, 08April",2021
96,"Radiographer, diagnostic",Holder LLC,Jacobshire,AP,2021-04-08,"Thursday, 08April",2021
97,Database administrator,Yates-Ferguson,Port Susan,AE,2021-04-08,"Thursday, 08April",2021
98,Furniture designer,Ortega-Lawrence,North Tiffany,AA,2021-04-08,"Thursday, 08April",2021
99,Ship broker,"Fuentes, Walls and Castro",Michelleville,AP,2021-04-08,"Thursday, 08April",2021
